Series_reference,Period,Data_value,UNITS,Subject,Group,Series_title_1,Series_title_2
ECTM.S1AG1210,2007.03,925.1,Dollars,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
ECTM.S1AG1210,2007.04,880,Dollars,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
ECTM.S1AG1210,2007.05,905.1,Dollars,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
ECTM.S1AG1210,2007.06,874.3,Dollars,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
ECTM.S1AG1210,2007.07,890.5,Dollars,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
ECTM.S1AG1210,2007.08,917.7,Dollars,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
ECTM.S1AG1210,2007.09,895.9,Dollars,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
ECTM.S1AG1210,2007.1,945.9,Dollars,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
ECTM.S1AG1210,2007.11,960.8,Dollars,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
ECTM.S1AG1210,2007.12,1102.2,Dollars,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
ECTM.S1AG1210,2008.01,959.2,Dollars,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
ECTM.S1AG1210,2008.02,924.5,Dollars,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
ECTM.S1AG1210,2008.03,988,Dollars,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
ECTM.S1AG1210,2008.04,922.8,Dollars,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
ECTM.S1AG1210,2008.05,960.5,Dollars,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
ECTM.S1AG1210,2008.06,904,Dollars,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
ECTM.S1AG1210,2008.07,942.7,Dollars,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
ECTM.S1AG1210,2008.08,981,Dollars,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
ECTM.S1AG1210,2008.09,958.3,Dollars,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
ECTM.S1AG1210,2008.1,1032.2,Dollars,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
ECTM.S1AG1210,2008.11,1039.9,Dollars,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
ECTM.S1AG1210,2008.12,1180.5,Dollars,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
